Point_ID,Output
1,-1.3768
2,-1.4609
3,-1.5786
4,-1.6268
5,-1.6029
6,-1.5205
7,-1.3633
8,-1.2045
9,-0.9859
10,-0.9285
11,-0.8383
12,-0.8483
13,-0.9405
14,-1.1760
15,-1.3361
16,-1.3605
17,-1.1224
18,-0.5433
19,-0.4743
20,-0.5032
21,-0.6027
22,-0.7849
23,-1.0496
24,-1.3264
25,-1.4569
26,-1.4896
27,-1.4932
28,-1.4584
29,-1.3912
30,-1.0829
31,-0.7492
32,-0.3557
33,-0.1143
34,0.0891
35,0.0865
36,0.0157
37,-0.1207
38,-0.2714
39,-0.4601
40,-0.6177
41,-0.4721
42,-0.0418
43,-0.0293
44,-0.1221
45,-0.2363
46,-0.4599
47,-0.7437
48,-1.0271
49,-1.2647
50,-1.4309
51,-1.4527
52,-1.5273
53,-1.4497
54,-1.3429
55,-1.1326
56,-0.8679
57,-0.6244
58,-0.4693
59,-0.4891
60,-0.5863
61,-0.7869
62,-0.9668
63,-1.1111
64,-1.1623
65,-1.0206
66,-0.6704
67,-0.6316
68,-0.7601
69,-0.8554
70,-1.0303
71,-1.2783
72,-1.5766
73,-1.8767
74,-1.9800
75,-2.0355
76,-2.0927
77,-2.0606
78,-2.0241
79,-1.8330
80,-1.5497
81,-1.2444
82,-0.9770
83,-1.0104
84,-1.0428
85,-0.9894
86,-1.0480
87,-1.0071
88,-0.9426
89,-0.6954
90,-0.3785
91,-0.3422
92,-0.4255
93,-0.5040
94,-0.6573
95,-0.9769
96,-1.2803
97,-1.4010
98,-1.4495
99,-1.4332
100,-1.3284
101,-1.2205
102,-0.7677
103,-0.0545
104,0.2870
105,0.2388
106,0.2128
107,0.2576
108,0.1505
109,0.1320
110,0.0996
111,0.0051
112,-0.0017
113,0.1106
114,0.5309
115,0.6705
116,0.6359
117,0.5051
118,0.2839
119,-0.0707
120,-0.4315
121,-0.5941
122,-0.5927
123,-0.6165
124,-0.5681
125,-0.3966
126,0.0580
127,0.7438
128,1.1062
129,0.9207
130,0.8531
131,0.7732
132,0.6459
133,0.6095
134,0.5844
135,0.5261
136,0.5305
137,0.8141
138,1.5446
139,1.6839
140,1.7019
141,1.6148
142,1.4488
143,1.1258
144,0.8026
145,0.7310
146,0.7316
147,0.7395
148,0.8489
149,1.0227
150,1.4657
151,2.1655
152,2.4035
153,2.0830
154,1.8491
155,1.7072
156,1.4924
157,1.2946
158,1.1478
159,1.0463
160,1.0789
161,1.2734
162,1.9728
163,1.9544
164,1.9640
165,1.8929
166,1.5648
167,1.1699
168,0.8005
169,0.7403
170,0.6738
171,0.6822
172,0.7367
173,0.9030
174,1.3302
175,1.9397
176,2.3091
177,1.9748
178,1.6861
179,1.4601
180,1.2927
181,1.2241
182,1.1638
183,1.1212
184,1.1343
185,1.2929
186,1.6416
187,1.6247
188,1.5593
189,1.3870
190,1.0451
191,0.6132
192,0.2346
193,0.0410
194,-0.0833
195,-0.0611
196,-0.0468
197,0.1478
198,0.5105
199,1.0854
200,1.3475
201,1.3863
202,1.3774
203,1.2640
204,1.1521
205,0.9912
206,0.9244
207,0.7844
208,0.8195
209,0.8562
210,1.3996
211,1.4866
212,1.4284
213,1.3639
214,1.2927
215,1.1408
216,0.8297
217,0.7564
218,0.7590
219,0.8201
220,0.8810
221,0.9933
222,1.2494
223,1.5173
224,1.8171
225,2.1342
226,2.1390
227,2.0989
228,1.6765
229,1.4241
230,1.1781
231,1.0041
232,0.9125
233,1.1287
234,1.7288
235,1.8193
236,1.7137
237,1.6665
238,1.5503
239,1.3095
240,0.9938
241,0.8815
242,0.8303
243,0.8494
244,0.8858
245,0.9436
246,1.1932
247,1.4123
248,1.7129
249,1.9179
250,1.7618
251,1.4279
252,1.2263
253,1.0175
254,0.6546
255,0.4991
256,0.6069
257,0.7978
258,1.2113
259,1.2101
260,1.1757
261,1.0734
262,0.7923
263,0.4328
264,0.0604
265,-0.0635
266,-0.1921
267,-0.1205
268,-0.0344
269,0.1592
270,0.5550
271,1.2295
272,1.5160
273,1.0968
274,0.8639
275,0.7007
276,0.4834
277,0.3979
278,0.2658
279,0.1734
280,0.1904
281,0.3361
282,0.7327
283,0.8737
284,0.7922
285,0.6349
286,0.3580
287,-0.0147
288,-0.4613
289,-0.5552
290,-0.6439
291,-0.5810
292,-0.5293
293,-0.2501
294,0.1782
295,0.8849
